source,target,weight
7909,8119,2
7909,8124,2
7909,8128,2
7909,8134,2
7909,8135,2
7909,8138,2
7909,8168,2
7909,8182,2
7909,8187,2
7909,8188,2
7909,8197,2
7909,8205,2
7909,8211,2
7909,8226,2
7909,8261,2
7909,8275,2
7909,8281,2
7910,8043,2
7910,8048,2
7910,8051,2
7910,8068,2
7910,8109,2
7910,8126,2
7910,8127,2
7910,8128,2
7910,8133,2
7910,8134,2
7910,8138,2
7910,8141,2
7910,8144,2
7910,8157,2
7910,8167,2
7910,8195,2
7910,8196,2
7910,8215,2
7911,7984,2
7911,7999,2
7911,8009,2
7911,8012,2
7911,8015,2
7911,8043,2
7911,8069,2
7911,8096,2
7911,8107,2
7911,8108,2
7911,8109,2
7911,8126,2
7911,8128,2
7911,8138,2
7911,8144,2
7911,8145,2
7911,8150,2
7911,8169,2
7911,8171,2
7911,8179,2
7911,8190,2
7911,8197,2
7911,8216,2
7911,8226,2
7911,8256,2
7911,8268,2
7911,8303,2
7912,7990,2
7912,7999,2
7912,8000,2
7912,8061,2
7912,8087,2
7912,8101,2
7912,8108,2
7912,8109,2
7912,8121,2
7912,8134,2
7912,8140,2
7912,8145,2
7912,8153,2
7912,8175,2
7912,8189,2
7912,8200,2
7912,8215,2
7912,8229,2
7912,8255,2
7912,8256,2
7912,8269,2
7912,8295,2
7912,8301,2
7912,8303,2
7913,7986,2
7913,8000,2
7913,8016,2
7913,8036,2
7913,8043,2
7913,8049,2
7913,8051,2
7913,8054,2
7913,8057,2
7913,8061,2
7913,8063,2
7913,8072,2
7913,8075,2
7913,8107,2
7913,8109,2
7913,8123,2
7913,8134,2
7913,8137,2
7913,8141,2
7913,8143,2
7913,8155,2
7913,8167,2
7913,8173,2
7913,8201,2
7913,8202,2
7913,8226,2
7913,8228,2
7913,8238,2
7913,8239,2
7913,8240,2
7913,8243,2
7913,8245,2
7913,8250,2
7913,8258,2
7913,8262,2
7913,8269,2
7913,8282,2
7913,8284,2
7913,8288,2
7913,8295,2
7913,8301,2
7914,7982,2
7914,7991,2
7914,7993,2
7914,7994,2
7914,7995,2
7914,8001,2
7914,8002,2
7914,8004,2
7914,8005,2
7914,8007,2
7914,8008,2
7914,8010,2
7914,8014,2
7914,8017,2
7914,8020,2
7914,8024,2
7914,8034,2
7914,8050,2
7914,8052,2
7914,8074,2
7914,8077,2
7914,8080,2
7914,8086,2
7914,8089,2
7914,8090,2
7914,8091,2
7914,8093,2
7914,8095,2
7914,8099,2
7914,8102,2
7914,8104,2
7914,8107,2
7914,8109,2
7914,8110,2
7914,8111,2
7914,8114,2
7914,8115,2
7914,8116,2
7914,8117,2
7914,8125,2
7914,8129,2
7914,8130,2
7914,8131,2
7914,8138,2
7914,8146,2
7914,8148,2
7914,8152,2
7914,8160,2
7914,8161,2
7914,8162,2
7914,8163,2
7914,8166,2
7914,8174,2
7914,8178,2
7914,8182,2
7914,8187,2
7914,8193,2
7914,8203,2
7914,8204,2
7914,8205,2
7914,8207,2
7914,8209,2
7914,8210,2
7914,8211,2
7914,8212,2
7914,8213,2
7914,8219,2
7914,8222,2
7914,8223,2
7914,8224,2
7914,8230,2
7914,8232,2
7914,8235,2
7914,8236,2
7914,8245,2
7914,8252,2
7914,8257,2
7914,8260,2
7914,8262,2
7914,8263,2
7914,8264,2
7914,8273,2
7914,8274,2
7914,8279,2
7914,8281,2
7914,8284,2
7914,8300,2
7916,7987,2
7916,8023,2
7916,8057,2
7916,8060,2
7916,8078,2
7916,8120,2
7916,8164,2
7916,8182,2
7916,8186,2
7916,8187,2
7916,8245,2
7916,8257,2
7916,8267,2
7916,8271,2
7916,8278,2
7916,8292,2
7918,7996,2
7918,8002,2
7918,8018,2
7918,8031,2
7918,8037,2
7918,8047,2
7918,8055,2
7918,8057,2
7918,8065,2
7918,8105,2
7918,8138,2
7918,8143,2
7918,8154,2
7918,8155,2
7918,8166,2
7918,8173,2
7918,8186,2
7918,8201,2
7918,8205,2
7918,8220,2
7918,8243,2
7918,8259,2
7918,8262,2
7918,8284,2
7918,8291,2
7919,8059,2
7919,8066,2
7919,8081,2
7919,8109,2
7919,8187,2
7919,8216,2
7919,8251,2
7919,8261,2
7919,8262,2
7919,8281,2
7919,8283,2
7920,7982,2
7920,7991,2
7920,7993,2
7920,7994,2
7920,7995,2
7920,8001,2
7920,8002,2
7920,8004,2
7920,8005,2
7920,8007,2
7920,8008,2
7920,8010,2
7920,8014,2
7920,8017,2
7920,8020,2
7920,8024,2
7920,8034,2
7920,8050,2
7920,8052,2
7920,8057,2
7920,8071,2
7920,8073,2
7920,8074,2
7920,8077,2
7920,8080,2
7920,8086,2
7920,8089,2
7920,8090,2
7920,8091,2
7920,8093,2
7920,8095,2
7920,8099,2
7920,8102,2
7920,8104,2
7920,8107,2
7920,8109,2
7920,8110,2
7920,8111,2
7920,8114,2
7920,8115,2
7920,8116,2
7920,8117,2
7920,8124,2
7920,8125,2
7920,8129,2
7920,8130,2
7920,8131,2
7920,8146,2
7920,8148,2
7920,8152,2
7920,8154,2
7920,8160,2
7920,8161,2
7920,8162,2
7920,8163,2
7920,8166,2
7920,8168,2
7920,8174,2
7920,8178,2
7920,8182,2
7920,8183,2
7920,8186,2
7920,8188,2
7920,8193,2
7920,8203,2
7920,8204,2
7920,8205,2
7920,8207,2
7920,8209,2
7920,8210,2
7920,8212,2
7920,8213,2
7920,8219,2
7920,8222,2
7920,8223,2
7920,8224,2
7920,8226,2
7920,8230,2
7920,8232,2
7920,8235,2
7920,8236,2
7920,8245,2
7920,8252,2
7920,8257,2
7920,8260,2
7920,8262,2
7920,8263,2
7920,8264,2
7920,8273,2
7920,8274,2
7920,8279,2
7920,8284,2
7920,8286,2
7920,8300,2
7945,7983,2
7945,7999,2
7945,8003,2
7945,8013,2
7945,8019,2
7945,8027,2
7945,8036,2
7945,8043,2
7945,8057,2
7945,8072,2
7945,8076,2
7945,8079,2
7945,8081,2
7945,8095,2
7945,8096,2
7945,8097,2
7945,8101,2
7945,8103,2
7945,8107,2
7945,8109,2
7945,8133,2
7945,8138,2
7945,8140,2
7945,8150,2
7945,8153,2
7945,8167,2
7945,8168,2
7945,8170,2
7945,8175,2
7945,8179,2
7945,8187,2
7945,8189,2
7945,8194,2
7945,8200,2
7945,8205,2
7945,8215,2
7945,8217,2
7945,8218,2
7945,8226,2
7945,8231,2
7945,8238,2
7945,8242,2
7945,8248,2
7945,8250,2
7945,8255,2
7945,8268,2
7945,8269,2
7945,8295,2
7945,8302,2
7945,8303,2
7945,8305,2
7963,7991,2
7963,7992,2
7963,8000,2
7963,8002,2
7963,8006,2
7963,8008,2
7963,8016,2
7963,8017,2
7963,8029,2
7963,8041,2
7963,8042,2
7963,8045,2
7963,8057,2
7963,8058,2
7963,8071,2
7963,8081,2
7963,8105,2
7963,8106,2
7963,8122,2
7963,8138,2
7963,8139,2
7963,8142,2
7963,8144,2
7963,8154,2
7963,8176,2
7963,8180,2
7963,8187,2
7963,8198,2
7963,8210,2
7963,8212,2
7963,8226,2
7963,8252,2
7963,8257,2
7963,8258,2
7963,8261,2
7963,8265,2
7963,8281,2
7963,8284,2
7963,8285,2
7963,8286,2
7963,8296,2
7967,7985,2
7967,7996,2
7967,7998,2
7967,8009,2
7967,8026,2
7967,8032,2
7967,8035,2
7967,8038,2
7967,8044,2
7967,8045,2
7967,8053,2
7967,8061,2
7967,8069,2
7967,8072,2
7967,8078,2
7967,8081,2
7967,8083,2
7967,8084,2
7967,8113,2
7967,8159,2
7967,8168,2
7967,8199,2
7967,8208,2
7967,8214,2
7967,8216,2
7967,8217,2
7967,8227,2
7967,8241,2
7967,8246,2
7967,8257,2
7967,8261,2
7967,8266,2
7967,8281,2
7967,8283,2
7967,8293,2
7967,8296,2
7974,7987,2
7974,8024,2
7974,8027,2
7974,8044,2
7974,8056,2
7974,8058,2
7974,8060,2
7974,8063,2
7974,8070,2
7974,8085,2
7974,8112,2
7974,8122,2
7974,8132,2
7974,8153,2
7974,8177,2
7974,8181,2
7974,8182,2
7974,8183,2
7974,8215,2
7974,8249,2
7974,8255,2
7974,8257,2
7974,8262,2
7974,8269,2
7974,8281,2
7974,8294,2
7974,8297,2
